"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2023-01-15","157.78","156.35","158.35","156.12","","0.91%"
"2023-01-08","156.35","159.74","161.27","155.63","","-2.10%"
"2023-01-01","159.70","158.63","160.23","155.34","","0.69%"
"2022-12-25","158.60","160.13","162.37","157.81","","-0.95%"
"2022-12-18","160.12","165.21","167.06","158.58","","-3.51%"
"2022-12-11","165.94","167.28","170.10","165.92","","-0.84%"
"2022-12-04","167.35","164.76","168.10","164.54","","1.42%"
"2022-11-27","165.01","168.02","168.29","163.74","","-1.90%"
"2022-11-20","168.21","166.89","169.08","166.05","","0.85%"
"2022-11-13","166.79","163.99","167.35","163.65","","1.54%"
"2022-11-06","164.26","165.72","169.16","163.07","","-1.49%"
"2022-10-30","166.75","171.18","172.15","164.74","","-2.59%"
"2022-10-23","171.19","167.71","171.40","165.55","","2.59%"
"2022-10-16","166.86","166.26","170.12","164.96","","0.43%"
"2022-10-09","166.14","161.10","167.32","159.71","","3.14%"
"2022-10-02","161.08","161.35","165.74","160.58","","-0.28%"
"2022-09-25","161.54","155.63","162.23","149.32","","3.82%"
"2022-09-18","155.59","163.18","164.47","155.35","","-4.60%"
"2022-09-11","163.10","165.29","167.15","162.73","","-1.24%"
"2022-09-04","165.14","161.32","166.35","160.63","","2.36%"
"2022-08-28","161.33","161.59","162.68","160.88","","-0.13%"
"2022-08-21","161.54","161.91","162.74","160.79","","-0.25%"
"2022-08-14","161.95","161.96","163.61","160.07","","0.02%"
"2022-08-07","161.91","162.96","164.44","161.26","","-0.62%"
"2022-07-31","162.92","162.10","163.83","159.43","","0.54%"
"2022-07-24","162.04","163.34","166.37","161.52","","-0.77%"
"2022-07-17","163.29","164.55","166.28","162.99","","-0.55%"
"2022-07-10","164.19","163.71","165.23","161.80","","0.32%"
"2022-07-03","163.66","163.66","165.31","160.35","","0.10%"
"2022-06-26","163.50","165.79","166.97","161.55","","-1.36%"
"2022-06-19","165.75","164.91","167.87","164.46","","0.48%"
"2022-06-12","164.96","165.71","166.24","159.99","","-0.34%"
"2022-06-05","165.52","163.42","168.75","162.89","","1.29%"
"2022-05-29","163.41","160.40","164.13","160.26","","1.90%"
"2022-05-22","160.36","159.57","161.05","157.98","","0.46%"
"2022-05-15","159.63","158.52","161.88","157.42","","0.78%"
"2022-05-08","158.40","161.11","162.23","155.59","","-1.66%"
"2022-05-01","161.07","163.44","163.93","160.29","","-1.31%"
"2022-04-24","163.21","165.37","165.38","159.65","","-1.10%"
"2022-04-17","165.03","165.02","168.45","164.61","","0.02%"
"2022-04-10","164.99","161.68","165.51","161.60","","1.85%"
"2022-04-03","162.00","160.65","162.40","160.27","","0.87%"
"2022-03-27","160.61","160.88","164.68","159.03","","-0.15%"
"2022-03-20","160.85","157.11","161.52","156.35","","2.44%"
"2022-03-13","157.02","152.93","157.26","152.90","","2.70%"
"2022-03-06","152.89","151.84","153.43","150.96","","0.72%"
"2022-02-27","151.80","154.95","155.26","151.45","","-2.01%"
"2022-02-20","154.91","156.21","156.82","153.34","","-0.88%"
"2022-02-13","156.29","156.54","157.33","155.29","","-0.13%"
"2022-02-06","156.50","155.89","158.10","155.12","","0.42%"
"2022-01-30","155.85","154.43","156.54","154.35","","0.89%"
"2022-01-23","154.47","154.12","154.99","152.88","","0.25%"
"2022-01-16","154.08","156.19","156.94","153.89","","-1.33%"
"2022-01-09","156.15","157.04","157.74","155.44","","-0.52%"
"2022-01-02","156.97","155.69","157.79","154.88","","0.82%"
"2021-12-26","155.69","153.18","156.04","153.12","","1.67%"
"2021-12-19","153.14","150.59","153.75","149.51","","1.77%"
"2021-12-12","150.48","150.09","152.67","149.75","","0.03%"
"2021-12-05","150.44","149.23","151.16","149.14","","0.80%"
"2021-11-28","149.25","151.20","151.94","148.96","","-1.22%"
"2021-11-21","151.10","153.38","154.24","150.71","","-1.45%"
"2021-11-14","153.33","152.80","154.77","152.51","","0.41%"
"2021-11-07","152.71","153.10","153.78","152.36","","-0.20%"
"2021-10-31","153.02","156.00","156.52","152.80","","-1.96%"
"2021-10-24","156.08","156.32","157.79","155.70","","0.04%"
"2021-10-17","156.02","157.06","158.26","155.91","","-0.66%"
"2021-10-10","157.05","152.79","157.45","152.70","","2.82%"
"2021-10-03","152.74","150.41","152.96","150.15","","1.54%"
"2021-09-26","150.42","151.49","152.60","149.22","","-0.63%"
"2021-09-19","151.37","151.12","151.76","148.94","","0.17%"
"2021-09-12","151.11","152.10","152.87","150.82","","-0.67%"
"2021-09-05","152.13","152.18","152.66","151.41","","-0.01%"
"2021-08-29","152.14","151.15","152.32","150.93","","0.70%"
"2021-08-22","151.08","149.70","151.62","149.38","","1.02%"
"2021-08-15","149.56","151.65","152.22","149.17","","-1.54%"
"2021-08-08","151.90","153.04","153.34","151.91","","-0.67%"
"2021-08-01","152.93","152.51","153.27","151.15","","0.29%"
"2021-07-25","152.49","152.07","153.47","151.41","","0.39%"
"2021-07-18","151.90","151.40","152.18","148.45","","0.28%"
"2021-07-11","151.47","153.13","153.51","151.42","","-1.05%"
"2021-07-04","153.08","153.49","154.09","150.65","","-0.25%"
"2021-06-27","153.47","153.64","154.26","152.60","","-0.16%"
"2021-06-20","153.72","152.29","155.17","151.30","","1.03%"
"2021-06-13","152.16","154.80","155.51","151.98","","-1.62%"
"2021-06-06","154.67","154.96","155.33","154.10","","-0.19%"
"2021-05-30","154.97","155.74","155.96","154.82","","-0.60%"
"2021-05-23","155.90","154.24","156.10","153.74","","1.15%"
"2021-05-16","154.12","154.02","154.86","153.53","","-0.01%"
"2021-05-09","154.13","151.79","154.46","151.79","","1.58%"
"2021-05-02","151.74","151.09","152.26","150.82","","0.52%"
"2021-04-25","150.95","149.73","152.43","149.53","","0.83%"
"2021-04-18","149.71","150.40","152.04","149.05","","-0.48%"
"2021-04-11","150.43","150.46","150.85","149.38","","0.09%"
"2021-04-04","150.30","153.09","153.43","149.58","","-1.82%"
"2021-03-28","153.08","151.22","153.23","150.57","","1.28%"
"2021-03-21","151.14","151.07","151.57","148.51","","0.09%"
"2021-03-14","151.00","151.76","152.58","150.56","","-0.49%"
"2021-03-07","151.75","149.89","152.26","149.63","","1.20%"
"2021-02-28","149.95","148.55","150.74","148.10","","0.98%"
"2021-02-21","148.49","147.74","150.48","147.40","","0.50%"
"2021-02-14","147.75","145.34","148.18","145.32","","1.74%"
"2021-02-07","145.23","144.70","145.50","144.02","","0.37%"
"2021-01-31","144.69","143.55","144.93","142.82","","0.90%"
"2021-01-24","143.40","142.01","143.98","141.26","","0.99%"
"2021-01-17","142.00","141.00","142.36","140.35","","0.62%"
"2021-01-10","141.12","140.93","142.28","140.32","","0.11%"
"2021-01-03","140.96","141.04","141.41","139.50","","-0.09%"
"2020-12-27","141.08","140.20","141.26","139.46","","0.63%"
"2020-12-20","140.19","139.21","141.24","136.96","","0.37%"
"2020-12-13","139.68","138.14","140.46","138.07","","1.56%"
"2020-12-06","137.53","140.04","140.35","136.77","","-1.72%"
"2020-11-29","139.93","138.54","140.74","138.40","","0.96%"
"2020-11-22","138.60","137.90","139.90","137.82","","0.49%"
"2020-11-15","137.93","137.88","138.91","137.16","","-0.01%"
"2020-11-08","137.95","136.02","140.29","135.73","","1.48%"
"2020-11-01","135.94","135.49","137.40","134.87","","0.39%"
"2020-10-25","135.41","136.67","137.09","134.39","","-0.81%"
"2020-10-18","136.52","136.20","137.69","135.84","","0.31%"
"2020-10-11","136.10","137.93","138.10","135.40","","-1.20%"
"2020-10-04","137.75","136.23","137.86","135.85","","1.12%"
"2020-09-27","136.22","134.63","137.04","134.35","","1.21%"
"2020-09-20","134.59","135.13","135.35","133.05","","-0.33%"
"2020-09-13","135.03","135.85","136.62","134.57","","-0.57%"
"2020-09-06","135.81","141.03","141.16","135.57","","-3.74%"
"2020-08-30","141.09","140.66","142.74","140.11","","0.33%"
"2020-08-23","140.62","138.48","141.65","138.28","","1.58%"
"2020-08-16","138.43","139.54","139.98","138.24","","-0.74%"
"2020-08-09","139.46","138.15","140.24","138.09","","0.90%"
"2020-08-02","138.22","138.52","139.26","137.73","","-0.19%"
"2020-07-26","138.48","135.70","139.24","135.14","","2.03%"
"2020-07-19","135.73","134.53","136.65","134.34","","0.97%"
"2020-07-12","134.43","134.93","135.51","133.96","","-0.35%"
"2020-07-05","134.90","134.30","135.95","133.93","","0.53%"
"2020-06-28","134.19","132.23","134.73","131.95","","1.49%"
"2020-06-21","132.22","132.16","134.01","131.76","","0.13%"
"2020-06-14","132.05","134.53","136.38","131.91","","-1.89%"
"2020-06-07","134.60","138.98","139.60","133.79","","-3.00%"
"2020-05-31","138.76","133.00","139.76","132.68","","4.28%"
"2020-05-24","133.07","131.04","133.48","130.91","","1.60%"
"2020-05-17","130.97","129.36","132.52","129.29","","1.10%"
"2020-05-10","129.54","132.32","133.21","129.54","","-2.10%"
"2020-05-03","132.32","133.70","133.70","130.65","","-1.00%"
"2020-04-26","133.66","133.04","135.48","131.93","","0.53%"
"2020-04-19","132.95","134.27","134.74","131.90","","-1.06%"
"2020-04-12","134.38","135.17","135.51","133.63","","-0.47%"
"2020-04-05","135.02","133.04","135.78","132.41","","1.55%"
"2020-03-29","132.96","134.32","134.64","132.48","","-1.06%"
"2020-03-22","134.39","129.15","134.78","127.35","","4.19%"
"2020-03-15","128.98","132.60","133.09","124.12","","-2.64%"
"2020-03-08","132.48","136.87","137.26","131.22","","-3.57%"
"2020-03-01","137.38","138.35","139.20","136.43","","-0.84%"
"2020-02-23","138.55","144.62","144.84","137.54","","-4.25%"
"2020-02-16","144.70","143.10","144.98","142.31","","1.07%"
"2020-02-09","143.17","141.57","143.50","141.23","","1.22%"
"2020-02-02","141.44","143.26","143.40","140.93","","-1.13%"
"2020-01-26","143.05","142.88","143.32","141.25","","0.12%"
"2020-01-19","142.88","143.22","144.63","142.70","","-0.27%"
"2020-01-12","143.27","142.88","144.54","142.35","","0.23%"
"2020-01-05","142.94","141.31","143.51","140.84","","1.07%"
"2019-12-29","141.43","143.04","144.37","140.99","","-1.14%"
"2019-12-22","143.06","142.15","143.60","141.16","","0.54%"
"2019-12-15","142.29","145.79","146.82","141.98","","-2.35%"
"2019-12-08","145.72","142.66","147.98","142.46","","2.17%"
"2019-12-01","142.63","141.53","143.27","140.82","","0.71%"
"2019-11-24","141.63","139.59","141.88","139.56","","1.61%"
"2019-11-17","139.39","140.38","141.59","139.31","","-0.62%"
"2019-11-10","140.26","139.56","140.61","139.35","","0.52%"
"2019-11-03","139.53","140.10","140.77","139.40","","-0.27%"
"2019-10-27","139.91","139.37","140.71","139.30","","0.45%"
"2019-10-20","139.29","140.18","141.38","138.87","","-0.95%"
"2019-10-13","140.63","136.88","141.51","135.49","","2.58%"
"2019-10-06","137.09","131.84","137.90","130.42","","3.97%"
"2019-09-29","131.86","132.64","133.38","131.27","","-0.57%"
"2019-09-22","132.61","134.12","134.60","132.32","","-1.18%"
"2019-09-15","134.19","134.64","135.74","133.87","","-0.67%"
"2019-09-08","135.09","131.55","135.23","130.80","","2.90%"
"2019-09-01","131.28","129.15","132.21","126.67","","1.60%"
"2019-08-25","129.21","129.18","130.40","128.20","","-0.14%"
"2019-08-18","129.39","129.23","130.71","128.26","","0.13%"
"2019-08-11","129.22","127.08","129.59","126.54","","1.67%"
"2019-08-04","127.10","129.56","130.09","126.94","","-1.88%"
"2019-07-28","129.54","134.62","134.66","129.07","","-3.70%"
"2019-07-21","134.52","134.71","135.68","134.24","","-0.08%"
"2019-07-14","134.63","135.64","135.87","133.84","","-0.75%"
"2019-07-07","135.65","135.77","136.30","135.07","","-0.11%"
"2019-06-30","135.80","137.00","137.80","135.16","","-0.83%"
"2019-06-23","136.93","136.79","137.35","135.80","","0.17%"
"2019-06-16","136.70","136.79","137.20","135.37","","0.03%"
"2019-06-09","136.66","138.26","138.41","136.51","","-0.80%"
"2019-06-02","137.76","137.02","138.20","136.54","","0.73%"
"2019-05-26","136.76","139.10","139.66","136.62","","-1.56%"
"2019-05-19","138.93","139.75","141.76","138.51","","-0.77%"
"2019-05-12","140.01","142.70","142.90","139.54","","-2.02%"
"2019-05-05","142.90","144.98","145.97","142.23","","-2.34%"
"2019-04-28","146.32","144.21","146.54","143.99","","1.52%"
"2019-04-21","144.13","145.45","145.65","143.70","","-0.89%"
"2019-04-14","145.43","146.46","147.02","145.30","","-0.75%"
"2019-04-07","146.53","145.63","147.02","144.77","","0.60%"
"2019-03-31","145.65","144.32","147.22","144.32","","0.84%"
"2019-03-24","144.44","145.18","146.54","143.83","","-0.51%"
"2019-03-17","145.18","148.13","148.41","144.13","","-2.00%"
"2019-03-10","148.14","144.66","148.90","143.71","","2.41%"
"2019-03-03","144.66","148.10","148.49","144.30","","-2.08%"
"2019-02-24","147.73","144.72","148.60","144.33","","2.26%"
"2019-02-17","144.46","142.45","145.07","142.43","","1.49%"
"2019-02-10","142.34","142.08","143.35","140.99","","0.21%"
"2019-02-03","142.04","143.27","144.21","141.11","","-0.80%"
"2019-01-27","143.18","144.53","144.78","142.07","","-0.95%"
"2019-01-20","144.56","141.38","144.85","140.60","","2.31%"
"2019-01-13","141.29","139.50","142.24","137.37","","1.32%"
"2019-01-06","139.45","138.18","139.51","137.43","","0.98%"
"2018-12-30","138.10","139.85","140.88","131.96","","-1.42%"
"2018-12-23","140.09","140.76","140.93","139.44","","-0.26%"
"2018-12-16","140.46","142.81","143.26","140.24","","-1.53%"
"2018-12-09","142.64","143.51","144.05","141.18","","-0.56%"
"2018-12-02","143.45","144.89","145.62","142.85","","-0.88%"
"2018-11-25","144.72","145.19","145.87","144.52","","0.01%"
"2018-11-18","144.70","144.75","145.96","143.98","","-0.09%"
"2018-11-11","144.83","147.52","148.74","144.26","","-1.92%"
"2018-11-04","147.67","147.45","149.51","146.85","","0.60%"
"2018-10-28","146.79","143.55","147.28","143.21","","2.26%"
"2018-10-21","143.54","147.07","147.61","142.74","","-2.41%"
"2018-10-14","147.09","147.41","148.43","145.81","","-0.33%"
"2018-10-07","147.57","149.07","149.53","147.15","","-1.09%"
"2018-09-30","149.20","148.16","149.38","147.18","","0.74%"
"2018-09-23","148.10","147.21","149.13","146.60","","0.63%"
"2018-09-16","147.18","146.41","149.74","146.26","","0.55%"
"2018-09-09","146.37","143.54","147.04","143.05","","2.01%"
"2018-09-02","143.48","144.10","144.99","142.59","","-0.31%"
"2018-08-26","143.92","142.87","145.71","142.52","","0.69%"
"2018-08-19","142.94","140.61","143.29","140.61","","1.47%"
"2018-08-12","140.87","141.64","142.49","139.87","","-0.52%"
"2018-08-05","141.61","144.74","144.79","140.94","","-2.12%"
"2018-07-29","144.68","145.40","147.17","144.49","","-0.60%"
"2018-07-22","145.55","146.52","146.56","145.24","","-0.50%"
"2018-07-15","146.28","148.63","149.34","145.97","","-1.61%"
"2018-07-08","148.67","147.00","148.93","146.10","","1.34%"
"2018-07-01","146.71","145.85","146.89","145.16","","0.38%"
"2018-06-24","146.15","146.02","146.35","143.76","","0.18%"
"2018-06-17","145.89","146.78","147.10","144.37","","-0.75%"
"2018-06-10","146.99","146.84","148.01","146.26","","0.07%"
"2018-06-03","146.88","146.13","148.15","145.82","","0.47%"
"2018-05-27","146.19","145.56","146.32","143.18","","0.44%"
"2018-05-20","145.55","149.34","149.74","145.27","","-2.43%"
"2018-05-13","149.18","148.29","150.04","147.97","","0.72%"
"2018-05-06","148.11","147.71","149.33","147.02","","0.33%"
"2018-04-29","147.63","150.30","150.85","147.05","","-1.72%"
"2018-04-22","150.22","150.94","152.76","150.19","","-0.34%"
"2018-04-15","150.74","152.93","153.79","150.65","","-1.37%"
"2018-04-08","152.83","150.75","153.88","150.49","","1.45%"
"2018-04-01","150.64","149.17","151.25","148.38","","1.15%"
"2018-03-25","148.92","148.11","150.65","147.82","","0.63%"
"2018-03-18","147.99","147.84","150.35","147.04","","0.20%"
"2018-03-11","147.70","147.93","149.41","147.23","","-0.09%"
"2018-03-04","147.84","145.79","148.58","145.07","","1.31%"
"2018-02-25","145.93","149.37","150.09","144.96","","-2.23%"
"2018-02-18","149.26","149.20","150.97","148.52","","0.01%"
"2018-02-11","149.25","150.43","150.85","147.93","","-0.83%"
"2018-02-04","150.50","155.64","155.65","148.90","","-3.18%"
"2018-01-28","155.45","153.87","156.64","151.97","","0.94%"
"2018-01-21","154.01","153.67","156.11","153.43","","0.40%"
"2018-01-14","153.39","152.52","154.61","151.91","","0.64%"
"2018-01-07","152.41","153.44","153.70","150.18","","-0.65%"